Resultados para a variável: Va
Va : Size=576, Index=i*t
    Key      : Lower               : Value                  : Upper              : Fixed : Stale : Domain
     (7, 15) : -1.5707963267948966 :     0.1085731868401269 : 1.5707963267948966 : False : False :  Reals
     (7, 16) : -1.5707963267948966 :    0.10900821862223621 : 1.5707963267948966 : False : False :  Reals
     (7, 17) : -1.5707963267948966 :     0.1191878648496563 : 1.5707963267948966 : False : False :  Reals
     (7, 18) : -1.5707963267948966 :     0.1566219301012799 : 1.5707963267948966 : False : False :  Reals
     (7, 19) : -1.5707963267948966 :    0.14842446454898375 : 1.5707963267948966 : False : False :  Reals
     (7, 20) : -1.5707963267948966 :    0.13170878482938292 : 1.5707963267948966 : False : False :  Reals
     (7, 21) : -1.5707963267948966 :    0.12194121404555912 : 1.5707963267948966 : False : False :  Reals
     (7, 22) : -1.5707963267948966 :    0.10730660867520556 : 1.5707963267948966 : False : False :  Reals
     (7, 23) : -1.5707963267948966 :    0.09614874355488488 : 1.5707963267948966 : False : False :  Reals
     (7, 24) : -1.5707963267948966 :    0.09386326769263707 : 1.5707963267948966 : False : False :  Reals
      (8, 1) : -1.5707963267948966 :    0.04743706286446036 : 1.5707963267948966 : False : False :  Reals
      (8, 2) : -1.5707963267948966 :    0.04112051264743647 : 1.5707963267948966 : False : False :  Reals
      (8, 3) : -1.5707963267948966 :   0.036351952071000865 : 1.5707963267948966 : False : False :  Reals
      (8, 4) : -1.5707963267948966 :    0.03432807773526023 : 1.5707963267948966 : False : False :  Reals
      (8, 5) : -1.5707963267948966 :    0.03266353398529447 : 1.5707963267948966 : False : False :  Reals
      (8, 6) : -1.5707963267948966 :   0.034055366102138565 : 1.5707963267948966 : False : False :  Reals
      (8, 7) : -1.5707963267948966 :   0.038451505521197554 : 1.5707963267948966 : False : False :  Reals
      (8, 8) : -1.5707963267948966 :   0.042259782274180986 : 1.5707963267948966 : False : False :  Reals
      (8, 9) : -1.5707963267948966 :    0.05073734721086589 : 1.5707963267948966 : False : False :  Reals
     (8, 10) : -1.5707963267948966 :    0.06261047150876618 : 1.5707963267948966 : False : False :  Reals
     (8, 11) : -1.5707963267948966 :    0.07012378297364288 : 1.5707963267948966 : False : False :  Reals
     (8, 12) : -1.5707963267948966 :    0.07216103235224475 : 1.5707963267948966 : False : False :  Reals
     (8, 13) : -1.5707963267948966 :    0.07495926598985825 : 1.5707963267948966 : False : False :  Reals
     (8, 14) : -1.5707963267948966 :     0.0693038714871059 : 1.5707963267948966 : False : False :  Reals
     (8, 15) : -1.5707963267948966 :    0.06663988683322118 : 1.5707963267948966 : False : False :  Reals
     (8, 16) : -1.5707963267948966 :    0.06698029433363155 : 1.5707963267948966 : False : False :  Reals
     (8, 17) : -1.5707963267948966 :    0.07529741386617585 : 1.5707963267948966 : False : False :  Reals
     (8, 18) : -1.5707963267948966 :    0.10749199799486493 : 1.5707963267948966 : False : False :  Reals
     (8, 19) : -1.5707963267948966 :    0.10025592236551782 : 1.5707963267948966 : False : False :  Reals
     (8, 20) : -1.5707963267948966 :     0.0855688716139793 : 1.5707963267948966 : False : False :  Reals
     (8, 21) : -1.5707963267948966 :    0.07756168597430682 : 1.5707963267948966 : False : False :  Reals
     (8, 22) : -1.5707963267948966 :    0.06562291864850171 : 1.5707963267948966 : False : False :  Reals
     (8, 23) : -1.5707963267948966 :   0.056741824442735296 : 1.5707963267948966 : False : False :  Reals
     (8, 24) : -1.5707963267948966 :    0.05491507569111182 : 1.5707963267948966 : False : False :  Reals
      (9, 1) : -1.5707963267948966 :  -0.024772152326480924 : 1.5707963267948966 : False : False :  Reals
      (9, 2) : -1.5707963267948966 :   -0.02581947859802679 : 1.5707963267948966 : False : False :  Reals
      (9, 3) : -1.5707963267948966 :   -0.02664980215639327 : 1.5707963267948966 : False : False :  Reals
      (9, 4) : -1.5707963267948966 :  -0.027015145694211762 : 1.5707963267948966 : False : False :  Reals
      (9, 5) : -1.5707963267948966 :  -0.027334843192777757 : 1.5707963267948966 : False : False :  Reals
      (9, 6) : -1.5707963267948966 :  -0.027070098511507098 : 1.5707963267948966 : False : False :  Reals
      (9, 7) : -1.5707963267948966 :   -0.02627473963460574 : 1.5707963267948966 : False : False :  Reals
      (9, 8) : -1.5707963267948966 :   -0.02563580748208917 : 1.5707963267948966 : False : False :  Reals
      (9, 9) : -1.5707963267948966 :   -0.02428198314013543 : 1.5707963267948966 : False : False :  Reals
     (9, 10) : -1.5707963267948966 :  -0.022548719636476824 : 1.5707963267948966 : False : False :  Reals
     (9, 11) : -1.5707963267948966 :  -0.021415566159436905 : 1.5707963267948966 : False : False :  Reals
     (9, 12) : -1.5707963267948966 :  -0.021072756240288697 : 1.5707963267948966 : False : False :  Reals
     (9, 13) : -1.5707963267948966 :  -0.020533741469872226 : 1.5707963267948966 : False : False :  Reals
     (9, 14) : -1.5707963267948966 :  -0.021577485914332686 : 1.5707963267948966 : False : False :  Reals
     (9, 15) : -1.5707963267948966 :  -0.022009645958192547 : 1.5707963267948966 : False : False :  Reals
     (9, 16) : -1.5707963267948966 :  -0.021976043017261103 : 1.5707963267948966 : False : False :  Reals
     (9, 17) : -1.5707963267948966 :  -0.020544321483059368 : 1.5707963267948966 : False : False :  Reals
     (9, 18) : -1.5707963267948966 :   -0.01347106445539228 : 1.5707963267948966 : False : False :  Reals
     (9, 19) : -1.5707963267948966 :  -0.015526062558653493 : 1.5707963267948966 : False : False :  Reals
     (9, 20) : -1.5707963267948966 :  -0.018427517011819557 : 1.5707963267948966 : False : False :  Reals
     (9, 21) : -1.5707963267948966 :   -0.02005704564386725 : 1.5707963267948966 : False : False :  Reals
     (9, 22) : -1.5707963267948966 :  -0.022166700756918113 : 1.5707963267948966 : False : False :  Reals
     (9, 23) : -1.5707963267948966 :    -0.0233994652871737 : 1.5707963267948966 : False : False :  Reals
     (9, 24) : -1.5707963267948966 :   -0.02365449634536518 : 1.5707963267948966 : False : False :  Reals
     (10, 1) : -1.5707963267948966 :   0.012390549185896993 : 1.5707963267948966 : False : False :  Reals
     (10, 2) : -1.5707963267948966 :   0.009564564717351183 : 1.5707963267948966 : False : False :  Reals
     (10, 3) : -1.5707963267948966 :    0.00736619919773515 : 1.5707963267948966 : False : False :  Reals
     (10, 4) : -1.5707963267948966 :   0.006413076341496102 : 1.5707963267948966 : False : False :  Reals
     (10, 5) : -1.5707963267948966 :  0.0056157684059376985 : 1.5707963267948966 : False : False :  Reals
     (10, 6) : -1.5707963267948966 :   0.006283239863537852 : 1.5707963267948966 : False : False :  Reals
     (10, 7) : -1.5707963267948966 :    0.00834572761988199 : 1.5707963267948966 : False : False :  Reals
     (10, 8) : -1.5707963267948966 :    0.01008657348452953 : 1.5707963267948966 : False : False :  Reals
     (10, 9) : -1.5707963267948966 :   0.013835255507492834 : 1.5707963267948966 : False : False :  Reals
    (10, 10) : -1.5707963267948966 :   0.019228501983516333 : 1.5707963267948966 : False : False :  Reals
    (10, 11) : -1.5707963267948966 :   0.022761736626892876 : 1.5707963267948966 : False : False :  Reals
    (10, 12) : -1.5707963267948966 :   0.023740126248225742 : 1.5707963267948966 : False : False :  Reals
    (10, 13) : -1.5707963267948966 :   0.025105557646277546 : 1.5707963267948966 : False : False :  Reals
    (10, 14) : -1.5707963267948966 :    0.02238584384762379 : 1.5707963267948966 : False : False :  Reals
    (10, 15) : -1.5707963267948966 :    0.02113932535132577 : 1.5707963267948966 : False : False :  Reals
    (10, 16) : -1.5707963267948966 :   0.021308847805211046 : 1.5707963267948966 : False : False :  Reals
    (10, 17) : -1.5707963267948966 :   0.025259452369244324 : 1.5707963267948966 : False : False :  Reals
    (10, 18) : -1.5707963267948966 :   0.033651478408671956 : 1.5707963267948966 : False : False :  Reals
    (10, 19) : -1.5707963267948966 :   0.033271720425302555 : 1.5707963267948966 : False : False :  Reals
    (10, 20) : -1.5707963267948966 :   0.030240526875066155 : 1.5707963267948966 : False : False :  Reals
    (10, 21) : -1.5707963267948966 :   0.026367658645539138 : 1.5707963267948966 : False : False :  Reals
    (10, 22) : -1.5707963267948966 :    0.02064612883561608 : 1.5707963267948966 : False : False :  Reals
    (10, 23) : -1.5707963267948966 :   0.016493006789185204 : 1.5707963267948966 : False : False :  Reals
    (10, 24) : -1.5707963267948966 :   0.015682668757163405 : 1.5707963267948966 : False : False :  Reals
     (11, 1) : -1.5707963267948966 :  -0.006450368659581217 : 1.5707963267948966 : False : False :  Reals
     (11, 2) : -1.5707963267948966 :  -0.008375027500897886 : 1.5707963267948966 : False : False :  Reals
     (11, 3) : -1.5707963267948966 :  -0.009880436100615099 : 1.5707963267948966 : False : False :  Reals
     (11, 4) : -1.5707963267948966 :  -0.010535896192598865 : 1.5707963267948966 : False : False :  Reals
     (11, 5) : -1.5707963267948966 :  -0.011091360943952506 : 1.5707963267948966 : False : False :  Reals
     (11, 6) : -1.5707963267948966 :  -0.010627813668040451 : 1.5707963267948966 : False : False :  Reals
     (11, 7) : -1.5707963267948966 :  -0.009207058772406058 : 1.5707963267948966 : False : False :  Reals
     (11, 8) : -1.5707963267948966 :  -0.008024432887453367 : 1.5707963267948966 : False : False :  Reals
