variable,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Block_Dispatch_t,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon_D,1,0.0,0.0,0.0,0.0,0.0,-17.14509558069285,0.0,-19.29290972920658,0.0,-13.69640993755321,0.0,-13.86221056439307,-14.33507890451457,0.0,0.0,0.0,-15.14682480062702,0.0,0.0,-27.79720998337598,-16.69321517222657,0.0,0.0,0.0
Carbon_D,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.46733813583449,0.0,0.0,0.0,0.0,0.0,-12.61663579999273,0.0,0.0
Carbon_D,3,0.0,0.0,-12.50751214815315,0.0,-20.82741078855937,0.0,-22.96982068599043,0.0,0.0,0.0,-19.49609065433796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon_D,4,-15.32426346282751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.53217574711364,0.0,0.0,0.0,0.0,-8.154009372761806,-19.56008399613086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.91312099784166,0.0
Carbon_D,5,0.0,-15.02450008746255,0.0,-22.83770672807978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.85285047541808,-16.19186403999195,0.0,0.0,0.0,0.0,-29.36278077749643
Carbon_Price,value,0.01389263157978251,0.03064918154757097,0.1572268647477417,0.03064918154763219,0.08905369883596537,0.0,0.03915578947340869,0.03915578947342414,0.03915578947418527,0.0391557894734711,0.01644673792855755,0.03896919156810048,0.0,0.01644673792848028,0.06441894736854928,0.03027738264583713,0.03027738264580382,0.01644673792856954,0.03896919156819776,0.124832353244543,0.03915578947359721,0.1572268647476809,0.1572268647476436,0.1830512091038198
Carbon_SE,value,15.32426346282751,15.02450008746255,12.50751214815315,22.83770672807978,20.82741078855937,17.14509558069285,22.96982068599043,19.29290972920658,17.53217574711364,13.69640993755321,19.49609065433796,13.86221056439307,14.33507890451457,8.154009372761806,19.56008399613086,10.46733813583449,15.14682480062702,12.85285047541808,16.19186403999195,27.79720998337598,16.69321517222657,12.61663579999273,14.91312099784166,29.36278077749643
Carbon_T,1,15.32426346282751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.53217574711364,0.0,19.49609065433796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.36278077749643
Carbon_T,2,0.0,0.0,0.0,22.83770672807978,0.0,0.0,22.96982068599043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85285047541808,16.19186403999195,0.0,0.0,0.0,14.91312099784166,0.0
Carbon_T,3,0.0,0.0,12.50751214815315,0.0,20.82741078855937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61663579999273,0.0,0.0
Carbon_T,4,0.0,0.0,0.0,0.0,0.0,17.14509558069285,0.0,19.29290972920658,0.0,13.69640993755321,0.0,13.86221056439307,14.33507890451457,0.0,0.0,10.46733813583449,15.14682480062702,0.0,0.0,0.0,16.69321517222657,0.0,0.0,0.0
Carbon_T,5,0.0,15.02450008746255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.154009372761806,19.56008399613086,0.0,0.0,0.0,0.0,27.79720998337598,0.0,0.0,0.0,0.0
DSO_MKT,value,-46.87781135037863,-38.22148389046045,-31.23573444774763,-49.82697591258511,-52.75282712206229,-53.13437149312784,-55.30442731623285,-62.0240094604668,-61.76268954250578,-55.99502901951511,-59.46419003693266,-43.02689801850423,-53.8645923871467,-45.616734292326,-56.01084863363013,-46.92195062376115,-57.54439453172094,-54.37468021100153,-47.07467197469055,-64.2099113701049,-57.87060329143178,-48.75905491394884,-47.11768544787526,-51.8563787711409
Dist_Flow,1,-0.183987744345308,-0.1485938967899103,-0.11270601470536,-0.1939161411075974,-0.1975680617479523,-0.1880415969666229,-0.1889676736724127,-0.2111132666200692,-0.2100019355763007,-0.1901306878600378,-0.1927241685729519,-0.1388922358073247,-0.1733049724903259,-0.1475670647727677,-0.1689965456620285,-0.1508919362497254,-0.1851941839984621,-0.1760012008495453,-0.152059005682964,-0.2110887722958069,-0.1968300206810948,-0.1721055934848558,-0.1677373434922523,-0.1927430548621666
