index0,index1,index2,rho_U.val
4,3,7,0.0
4,3,8,0.0
4,3,9,0.0
4,3,10,0.0
4,3,11,0.0
4,3,12,0.0
4,3,13,0.0
4,3,14,0.0
4,3,15,0.0
4,3,16,0.0
4,3,17,0.0
4,3,18,0.0
4,3,19,0.0
4,3,20,0.0
4,3,21,0.0
4,3,22,0.0
4,3,23,0.0
4,3,24,0.0
4,4,1,0.0
4,4,2,0.0
4,4,3,0.0
4,4,4,0.0
4,4,5,0.0
4,4,6,0.0
4,4,7,0.0
4,4,8,0.0
4,4,9,0.0
4,4,10,0.0
4,4,11,0.0
4,4,12,0.0
4,4,13,0.0
4,4,14,0.0
4,4,15,0.0
4,4,16,0.0
4,4,17,0.0
4,4,18,0.0
4,4,19,0.0
4,4,20,0.0
4,4,21,0.0
4,4,22,0.0
4,4,23,0.0
4,4,24,0.0
4,5,1,0.0
4,5,2,0.0
4,5,3,0.0
4,5,4,0.0
4,5,5,0.0
4,5,6,0.0
4,5,7,0.0
4,5,8,0.0
4,5,9,0.0
4,5,10,0.0
4,5,11,0.0
4,5,12,0.0
4,5,13,0.0
4,5,14,0.0
4,5,15,0.0
4,5,16,0.0
4,5,17,0.0
4,5,18,0.0
4,5,19,0.0
4,5,20,0.0
4,5,21,0.0
4,5,22,0.0
4,5,23,0.0
4,5,24,0.0
5,1,1,28.31999999999999
5,1,2,56.63999972179141
5,1,3,56.63999999999999
5,1,4,56.63999999999999
5,1,5,56.63999999999999
5,1,6,56.63999996761441
5,1,7,68.35074129592374
5,1,8,84.95999999999998
5,1,9,84.9600000000002
5,1,10,84.95999992010388
5,1,11,84.95999999999998
5,1,12,84.9600000000002
5,1,13,108.3588575398567
5,1,14,108.3588575398567
5,1,15,108.3588575398567
5,1,16,108.3588574144487
5,1,17,108.3588575398567
5,1,18,108.3588575398567
5,1,19,84.95999999999998
5,1,20,84.96000000000043
5,1,21,68.35074134736834
5,1,22,56.63999995176187
5,1,23,56.63999992223251
5,1,24,56.63999999999999
5,2,1,0.0
5,2,2,28.31999972179142
5,2,3,28.31999999999999
5,2,4,28.32000000000002
5,2,5,28.31999999999999
5,2,6,28.31999996761442
5,2,7,40.03074129592375
5,2,8,56.63999999999999
5,2,9,56.64000000000021
5,2,10,56.63999992010389
5,2,11,56.63999999999999
5,2,12,56.64000000000021
5,2,13,80.03885753985674
5,2,14,80.03885753985674
5,2,15,80.03885753985674
5,2,16,80.03885741444867
5,2,17,80.03885753985674
5,2,18,80.03885753985674
5,2,19,56.63999999999999
5,2,20,56.6400000000011
5,2,21,40.03074134736835
5,2,22,28.31999995176188
5,2,23,28.31999992223251
5,2,24,28.31999999999999
5,3,1,0.0
5,3,2,0.0
5,3,3,0.0
5,3,4,0.0
5,3,5,0.0
5,3,6,0.0
5,3,7,11.71074129592375
5,3,8,28.32000000000005
5,3,9,28.32000000000053
5,3,10,28.3199999201039
5,3,11,28.31999999999914
5,3,12,28.3200000000004
5,3,13,51.71885753985676
5,3,14,51.71885753985676
5,3,15,51.71885753985676
5,3,16,51.71885741444868
5,3,17,51.71885753985673
5,3,18,51.71885753985676
5,3,19,28.32000000000005
5,3,20,28.32000000000067
5,3,21,11.71074134736836
5,3,22,0.0
5,3,23,0.0
5,3,24,0.0
5,4,1,0.0
5,4,2,0.0
5,4,3,0.0
5,4,4,0.0
5,4,5,0.0
5,4,6,0.0
5,4,7,0.0
5,4,8,0.0
5,4,9,0.0
5,4,10,0.0
5,4,11,0.0
5,4,12,0.0
5,4,13,23.39885753985671
5,4,14,23.39885753985671
5,4,15,23.39885753985671
5,4,16,23.39885741444863
5,4,17,23.39885753985668
5,4,18,23.39885753985671
5,4,19,0.0
5,4,20,0.0
5,4,21,0.0
5,4,22,0.0
5,4,23,0.0
5,4,24,0.0
5,5,1,0.0
5,5,2,0.0
5,5,3,0.0
5,5,4,0.0
5,5,5,0.0
5,5,6,0.0
5,5,7,0.0
5,5,8,0.0
5,5,9,0.0
5,5,10,0.0
5,5,11,0.0
5,5,12,0.0
5,5,13,0.0
5,5,14,0.0
5,5,15,0.0
5,5,16,0.0
5,5,17,0.0
5,5,18,0.0
5,5,19,0.0
5,5,20,0.0
5,5,21,0.0
5,5,22,0.0
5,5,23,0.0
5,5,24,0.0
