index0,index1,index2,I.val
11,13,4,0.01180778446012597
11,13,5,0.008984613184367293
11,13,6,0.01225223617707408
11,13,7,0.01226145449375134
11,13,8,0.01155392484001182
11,13,9,0.01070980798308633
11,13,10,0.01023001825795592
11,13,11,0.01001424587543091
11,13,12,0.01022273080173737
11,13,13,0.01038418906917785
11,13,14,0.01068329538585134
11,13,15,0.01057316037190239
11,13,16,0.01063067536643151
11,13,17,0.0103724970700432
11,13,18,0.01055798777676699
11,13,19,0.009881973975675511
11,13,20,0.01047824742313789
11,13,21,0.009059087369304202
11,13,22,0.00898459929632789
11,13,23,0.007140566725094942
11,13,24,0.01017197254659312
11,14,1,1.595169178128346e-09
11,14,2,1.669751363546094e-09
11,14,3,1.515477991268267e-09
11,14,4,1.554557891143234e-09
11,14,5,9.450077454876054e-07
11,14,6,1.334015637306208e-06
11,14,7,2.25375498184664e-06
11,14,8,3.852648504070421e-06
11,14,9,5.977193565700234e-06
11,14,10,8.330776655812477e-06
11,14,11,1.060010901921308e-05
11,14,12,1.271591261414217e-05
11,14,13,1.413684571965751e-05
11,14,14,1.506815742797453e-05
11,14,15,1.502644186441959e-05
11,14,16,1.388621274823842e-05
11,14,17,1.163632480593155e-05
11,14,18,8.937357569955212e-06
11,14,19,6.74321915098876e-06
11,14,20,4.98301580126768e-06
11,14,21,3.703457615534925e-06
11,14,22,2.868267272634943e-06
11,14,23,2.139844571745486e-06
11,14,24,1.517715515253734e-06
12,15,1,0.004989994020563895
12,15,2,0.004938601665168818
12,15,3,0.004997021101538605
12,15,4,0.004990659382200349
12,15,5,0.004946861201788406
12,15,6,0.004925833361799174
12,15,7,0.004867989332962053
12,15,8,0.004801135084196747
12,15,9,0.004725404321648303
12,15,10,0.004686788358874852
12,15,11,0.004812433674368207
12,15,12,0.00480361833571991
12,15,13,0.004798621979669663
12,15,14,0.0048032069423409
12,15,15,0.004813744220325853
12,15,16,0.004842290030834997
12,15,17,0.004862529256440091
12,15,18,0.004812544314081206
12,15,19,0.004929853111278052
12,15,20,0.004874611218212291
12,15,21,0.004984003676229576
12,15,22,0.004924134350251259
12,15,23,0.004931211400657413
12,15,24,0.004965077250653122
13,16,1,0.01177202656946393
13,16,2,0.00593117987556697
13,16,3,0.01245132088250617
13,16,4,0.01246022544760306
13,16,5,0.009549632011160911
13,16,6,0.01290854444399497
13,16,7,0.01292040869376352
13,16,8,0.01220223985236811
13,16,9,0.01131549673585257
13,16,10,0.01085617704584634
13,16,11,0.01058601638412046
13,16,12,0.01080823438005236
13,16,13,0.01098981972651548
13,16,14,0.01136135679018394
13,16,15,0.01119880875387089
13,16,16,0.0113284876421056
13,16,17,0.01101111270693404
13,16,18,0.01127524262718376
13,16,19,0.0105201463814672
13,16,20,0.01119899719864015
13,16,21,0.00969157820168785
13,16,22,0.009639203024396399
13,16,23,0.007713788219838582
13,16,24,0.01083796435394369
16,17,1,0.01245842948808482
16,17,2,0.006424234134023833
16,17,3,0.0131413783454073
16,17,4,0.01313448617878388
16,17,5,0.01013599820010685
16,17,6,0.01358618619655487
16,17,7,0.01360070751964039
16,17,8,0.01287239337924931
16,17,9,0.01194357480012613
16,17,10,0.01150515495673607
16,17,11,0.01118108596877802
