index0,index1,VM.val
14,18,1.084252824250059
14,19,1.088147991702485
14,20,1.08443785561187
14,21,1.087386123112857
14,22,1.08598903605398
14,23,1.086534832526208
14,24,1.08489932916106
15,1,1.083309667808182
15,2,1.094049940878623
15,3,1.081683178698571
15,4,1.081660319952702
15,5,1.08574325990317
15,6,1.081818505216685
15,7,1.081884864936103
15,8,1.082937351347503
15,9,1.086658255940886
15,10,1.084728133272756
15,11,1.090494655805374
15,12,1.090158398929354
15,13,1.089797825256354
15,14,1.08432131327678
15,15,1.089480513044093
15,16,1.084526584828628
15,17,1.089851769337725
15,18,1.08443802312143
15,19,1.090923931177396
15,20,1.084637141861101
15,21,1.089645036828595
15,22,1.08708933084109
15,23,1.088874925585612
15,24,1.085231355919946
16,1,1.090109458419897
16,2,1.09518099097325
16,3,1.089085654308776
16,4,1.089080292130243
16,5,1.090738822231385
16,6,1.089624216109816
16,7,1.089840660825074
16,8,1.090311145346865
16,9,1.091811003748113
16,10,1.090930361673456
16,11,1.093348750046627
16,12,1.093215937440005
16,13,1.093082265349642
16,14,1.090757294437699
16,15,1.092962848580298
16,16,1.090881606158598
16,17,1.093161556718985
16,18,1.090908151875046
16,19,1.093690729164254
16,20,1.091026939273585
16,21,1.09305506338787
16,22,1.092086460800596
16,23,1.091978638203781
16,24,1.091344078803446
17,1,1.092993638048838
17,2,1.097296019903895
17,3,1.092045178503176
17,4,1.092037427011258
17,5,1.093361000912992
17,6,1.092629839677144
17,7,1.092868961703068
17,8,1.093267593446486
17,9,1.094458508093546
17,10,1.093741294886345
17,11,1.09571419245295
17,12,1.095615854094209
17,13,1.095520346145183
17,14,1.093648921945534
17,15,1.095433260663122
17,16,1.093768568269356
17,17,1.095609253971127
17,18,1.093791027718594
17,19,1.096061422418197
17,20,1.093894158935189
17,21,1.095514677960852
17,22,1.094757748013513
17,23,1.094384605270824
17,24,1.094151059749378
18,1,1.096101852322031
18,2,1.098820045457472
18,3,1.095310118953563
18,4,1.095298495767414
18,5,1.095938042497484
18,6,1.095582719066088
18,7,1.095695406874919
18,8,1.095889873939375
18,9,1.096524740913863
18,10,1.09611319189819
18,11,1.09722226780927
18,12,1.097200594669253
18,13,1.097183509021205
18,14,1.096154793915586
18,15,1.097157084502751
18,16,1.096249356583013
18,17,1.097252826243257
18,18,1.096268318115084
18,19,1.097513613027237
18,20,1.096299126345656
18,21,1.097126686260963
18,22,1.096741493121476
18,23,1.096530117979546
18,24,1.096395078556985
19,1,1.097111591391216
19,2,1.101375009552556
19,3,1.096162716933134
