index0,index1,index2,Block_Dispatch_d.val
3,5,15,0.01299999690480796
3,5,16,0.01123868343496356
3,5,17,0.0129999957493668
3,5,18,0.00436925321917172
3,5,19,0.01299999456125343
3,5,20,0.005938508826654337
3,5,21,0.01299997883099055
3,5,22,0.0
3,5,23,0.0
3,5,24,0.0
4,1,1,0.01499999997186519
4,1,2,0.01499999996907654
4,1,3,0.01499999997110433
4,1,4,0.01499999997102136
4,1,5,0.01499999997086455
4,1,6,0.01499999997354376
4,1,7,0.01499999997211926
4,1,8,0.01499999996246877
4,1,9,0.014999999973379
4,1,10,0.01499999997680983
4,1,11,0.01499999997558667
4,1,12,0.01499999997602032
4,1,13,0.0149999999745974
4,1,14,0.0149999999779323
4,1,15,0.01499999997555585
4,1,16,0.01499999997777563
4,1,17,0.01499999997329622
4,1,18,0.01499999997670266
