index0,index1,index2,P.val
12,15,2,-0.07342907518959041
12,15,3,-0.07342907543681568
12,15,4,-0.07338543843220376
12,15,5,-0.07321089146379117
12,15,6,-0.07290543331809624
12,15,7,-0.07246906612180676
12,15,8,-0.07198906068025113
12,15,9,-0.071509177700411
12,15,10,-0.07116011086047073
12,15,11,-0.07226541977790635
12,15,12,-0.07217814370308877
12,15,13,-0.07211996272334763
12,15,14,-0.07200196359713383
12,15,15,-0.07220723718441667
12,15,16,-0.07229429152401178
12,15,17,-0.07258542174598435
12,15,18,-0.07207429029426064
12,15,19,-0.07313815390857967
12,15,20,-0.0725564365195784
12,15,21,-0.07354175657404126
12,15,22,-0.07303634436688915
12,15,23,-0.07316725446566341
12,15,24,-0.07329816504403422
13,16,1,-0.1132639630926455
13,16,2,-0.08059491892245901
13,16,3,-0.1164319398388348
13,16,4,-0.1164727841045626
13,16,5,-0.1020539248667407
13,16,6,-0.1185781559450585
13,16,7,-0.1186567627249607
13,16,8,-0.1153400355539478
13,16,9,-0.1107854954503549
13,16,10,-0.1088258106824658
13,16,11,-0.1063621895120753
13,16,12,-0.1075189464514119
13,16,13,-0.1084981121270387
13,16,14,-0.1113208376633024
13,16,15,-0.10955859854718
13,16,16,-0.1111662934776891
13,16,17,-0.1086098756950538
13,16,18,-0.1109055779312327
13,16,19,-0.1060326986914909
13,16,20,-0.1105354005770614
13,16,21,-0.1025344377146319
13,16,22,-0.10259992801568
13,16,23,-0.09177784808835192
13,16,24,-0.1087533449397742
16,17,1,-0.116691207623936
16,17,2,-0.08394733944189518
16,17,3,-0.1197949250363894
16,17,4,-0.1197629555528894
16,17,5,-0.1052705512064134
16,17,6,-0.1218375646529382
16,17,7,-0.1219163514942219
16,17,8,-0.1186269572543011
16,17,9,-0.1140972637745427
16,17,10,-0.1121685065844975
16,17,11,-0.1097372309986388
16,17,12,-0.1109332861395531
16,17,13,-0.1119876951921473
16,17,14,-0.1148522954765339
16,17,15,-0.1131237627097905
16,17,16,-0.1148067016317581
16,17,17,-0.1122819845285923
16,17,18,-0.1146546799981171
16,17,19,-0.1098078282930405
16,17,20,-0.1143199722566155
16,17,21,-0.1062628513351606
16,17,22,-0.1062915961912084
16,17,23,-0.09537188897130366
16,17,24,-0.1123145338736304
17,18,1,-0.06446894489439764
17,18,2,-0.03165044617122338
17,18,3,-0.06753876954667273
17,18,4,-0.06747734265319873
17,18,5,-0.0530307473554117
17,18,6,-0.06163709007644663
17,18,7,-0.05854479183150153
17,18,8,-0.05441090875130979
17,18,9,-0.05061474100854191
17,18,10,-0.04927361898955666
17,18,11,-0.04601865981757564
17,18,12,-0.04744960349935989
17,18,13,-0.04865124752900726
17,18,14,-0.05173652673835986
17,18,15,-0.04980416851654831
17,18,16,-0.05145859080595371
17,18,17,-0.0483204472911615
17,18,18,-0.0513401220655275
17,18,19,-0.044976347335613
17,18,20,-0.05003364405952785
17,18,21,-0.04157727594136994
17,18,22,-0.0413052586260018
17,18,23,-0.04400426107413785
17,18,24,-0.04663590838397545
17,19,1,-0.05499635451757436
17,19,2,-0.05499635423550712
17,19,3,-0.05504000329364709
17,19,4,-0.05499636705615156
17,19,5,-0.05490908153235367
17,19,6,-0.06306858814628832
17,19,7,-0.06657221661970025
